Country,FullName,Apparatus,Centralization,Legitimacy,Inertia,MP,MA,MS,IA,IS,DA,DS,FA,FS,AA,AS,SA,SS
BRA,The Empire of Brazil,Military,Hegemony,Hereditary,50,76,25,75,25,65,15,45,5,10,5,1,25,1
CEN,The Democratic Republic of Central America,Bureaucratic,Federation,Elective,15,35,0,0,20,50,30,75,10,1,5,25,35,90
CHL,The Republic of Chile,Bureaucratic,Confederation,Elective,25,22,5,65,25,50,40,80,10,1,5,1,15,10
ARG,The Republic of Argentina,Bureaucratic,Federation,Elective,28,64,0,0,25,55,45,85,10,1,5,1,15,10
BOL,The Great Bolivian Empire,Aristocratic,Hegemony,Hereditary,23,35,15,95,45,85,20,15,0,0,10,1,10,1
PAN,The Dominion of Panama,Military,Unitary,Appointed,55,3,0,0,55,85,10,10,0,10,25,1,10,10
VER,The Emergency State of Veracruz,Military,Unitary,Appointed,55,7,5,35,35,85,30,25,10,1,10,1,10,1
SON,The State of Sonora,Military,Hegemony,Appointed,55,10,10,45,30,90,30,55,5,5,15,1,10,15
RAD,The Raiders of Zacatecas,Military,Anarchy,Appointed,55,2,10,20,15,20,30,20,5,1,30,78,10,10
RIO,The State of the Rio Grande,Military,Unitary,Appointed,55,10,10,30,30,85,30,35,10,10,10,1,10,1
MEX,The Mexican Republic,Bureaucratic,Federation,Elective,55,44,10,45,15,65,45,85,5,1,10,5,15,5
MIM,The Empire of Mexico,Aristocratic,Hegemony,Appointed,55,8,20,85,35,80,30,25,5,1,5,1,5,1
MAY,The Mayan Kingdom,Military,Hegemony,Appointed,55,4,35,85,25,55,25,35,3,1,7,2,5,1
OAX,The Oaxaca Commune,Military,Federation,Elective,55,14,10,45,15,35,25,75,5,1,5,55,40,90
HAI,The Freeman Republic of Haiti,Bureaucratic,Unitary,Elective,55,17,0,0,10,25,55,95,5,10,10,25,20,35
OMA,The Sultanate of Oman,Aristocratic,Hegemony,Hereditary,55,2,45,90,35,85,10,25,0,0,5,1,5,5
YEM,The Sultanate of Yemen,Aristocratic,Hegemony,Hereditary,55,16,45,90,35,85,10,25,0,0,5,1,5,5
ABU,The Sultanate of Abu Dhabi,Aristocratic,Hegemony,Hereditary,55,0,45,90,35,85,10,25,0,0,5,1,5,5
SIA,The Holy People's Republic of Thailand,Aristocratic,Hegemony,Hereditary,55,17,15,25,20,55,35,85,5,1,10,1,15,45
